object_id,color_1,closest_1,color_2,closest_2,color_3,closest_3,color_4,closest_4,color_5,closest_5,palette,url
18482627,#c0bab5,#c0c0c0,#7f8390,#778899,#a29392,#bc8f8f,#4b424c,#2f4f4f,#93a0aa,#a9a9a9,css3,http://images.collection.cooperhewitt.org/15921_be11c61d27d8e314_z.jpg
18482629,#767789,#708090,#bcbed2,#b0c4de,,,,,,,css3,http://images.collection.cooperhewitt.org/15923_0f482c3f370ac863_z.jpg
18482631,#5a4741,#556b2f,#80614c,#696969,#9d826a,#808080,#383035,#2f4f4f,#706667,#696969,css3,http://images.collection.cooperhewitt.org/15924_753b96c77b569538_z.jpg
18482633,#9d99b7,#a9a9a9,#7d758e,#708090,,,,,,,css3,http://images.collection.cooperhewitt.org/15925_84032945e27f81d2_z.jpg
18482633,#a38c94,#bc8f8f,#7c6c76,#808080,#dce3fb,#e6e6fa,,,,,css3,http://images.collection.cooperhewitt.org/15926_daaaa5e3f54fcfdc_z.jpg
18482635,#84819a,#778899,#b79d9e,#bc8f8f,#735e69,#696969,#a2a0b3,#a9a9a9,,,css3,http://images.collection.cooperhewitt.org/15927_31732887dab11541_z.jpg
18665607,#342024,#2f4f4f,#977f76,#808080,#675554,#696969,#613a34,#556b2f,#8c5c48,#a0522d,css3,http://images.collection.cooperhewitt.org/15928_45f6dbdcf3e9b0ae_z.jpg
18482639,#9e837d,#808080,#7d553e,#a0522d,#5d3a2d,#556b2f,#7e6561,#696969,#c5aba9,#a9a9a9,css3,http://images.collection.cooperhewitt.org/15930_437148701a92642f_z.jpg
18482641,#9792a3,#a9a9a9,#797880,#808080,#978383,#808080,#becaf1,#b0c4de,#232334,#2f4f4f,css3,http://images.collection.cooperhewitt.org/15932_30a680a4cf2d5b75_z.jpg
18639949,#c0b8c8,#c0c0c0,#9b96a1,#a9a9a9,#7c7989,#808080,#35373e,#2f4f4f,#5c5b64,#696969,css3,http://images.collection.cooperhewitt.org/15933_3ee408c7d59ac288_z.jpg
18482645,#3d5276,#483d8b,#c6b7a1,#d2b48c,#4c3f3a,#2f4f4f,#97826e,#808080,#696775,#696969,css3,http://images.collection.cooperhewitt.org/15934_fc39bc73259d123c_z.jpg
18640083,#cebfb0,#c0c0c0,#71797f,#808080,#ad8176,#bc8f8f,#939aa1,#a9a9a9,#404245,#2f4f4f,css3,http://images.collection.cooperhewitt.org/15935_1abc95d5f87c6342_z.jpg
18640085,#8c8d9c,#778899,#6d717f,#708090,#515660,#696969,#333840,#2f4f4f,#a5bacf,#b0c4de,css3,http://images.collection.cooperhewitt.org/15936_1fde0bceb0ce69a8_z.jpg
18638675,#75737d,#808080,#b7bbca,#c0c0c0,#585967,#696969,#343744,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/15940_5811e886e40699d1_z.jpg
18482639,#a4826c,#808080,#654d40,#556b2f,#323037,#2f4f4f,#916340,#a0522d,#3f2b29,#2f4f4f,css3,http://images.collection.cooperhewitt.org/15941_bc29ae5f0701856f_z.jpg
18482639,#977765,#808080,#a98d8d,#bc8f8f,#c7aba0,#d2b48c,#ddcdd1,#d3d3d3,#644a43,#556b2f,css3,http://images.collection.cooperhewitt.org/15942_bcd2d78bacf1f873_z.jpg
18638707,#697d7b,#708090,#334341,#2f4f4f,#50615d,#696969,#8ea29f,#a9a9a9,#beb7a8,#a9a9a9,css3,http://images.collection.cooperhewitt.org/15943_062c848c2361d80e_z.jpg
18482629,#9791ae,#a9a9a9,#b8b9de,#b0c4de,#717090,#708090,#d8e4fc,#e6e6fa,,,css3,http://images.collection.cooperhewitt.org/15944_c1a9cc86d1640d85_z.jpg
18482629,#ccd6f7,#e6e6fa,#7f7e96,#778899,,,,,,,css3,http://images.collection.cooperhewitt.org/15945_e1e1cf9647566049_z.jpg
18482635,#d4dffb,#e6e6fa,#83808f,#808080,#a7aabd,#a9a9a9,#493f46,#2f4f4f,,,css3,http://images.collection.cooperhewitt.org/15947_231488bec3291f99_z.jpg
18643587,#505956,#2f4f4f,#6b7574,#696969,#cfb294,#d2b48c,#90999d,#778899,#a88a71,#bc8f8f,css3,http://images.collection.cooperhewitt.org/15949_e7a06d3469c1efba_z.jpg
18648915,#323140,#2f4f4f,#c8cddd,#d3d3d3,#8c4a45,#a0522d,#bb554c,#cd5c5c,#c68777,#bc8f8f,css3,http://images.collection.cooperhewitt.org/15950_71fae0ff8fb37284_z.jpg
18644887,#c2b88a,#d2b48c,#9d8f6b,#808080,#77694b,#696969,#443e24,#556b2f,,,css3,http://images.collection.cooperhewitt.org/15951_506ad8325c12f1ec_z.jpg
18645547,#787d84,#808080,#cacfd6,#d3d3d3,#52565b,#696969,,,,,css3,http://images.collection.cooperhewitt.org/15953_196b73ee7790f635_z.jpg
18645547,#cbcace,#d3d3d3,,,,,,,,,css3,http://images.collection.cooperhewitt.org/15954_1c7801a8939fa88a_z.jpg
18645551,#48463f,#2f4f4f,#a59f97,#a9a9a9,#837e73,#808080,,,,,css3,http://images.collection.cooperhewitt.org/15955_d1335ff5049909b4_z.jpg
18646443,#4f4d77,#483d8b,#8986a7,#778899,#89867e,#808080,#2a2e4d,#2f4f4f,#696a93,#708090,css3,http://images.collection.cooperhewitt.org/15956_546f99f84c23e0f2_z.jpg
18641789,#8e8c86,#808080,#6e6d65,#696969,#514e46,#2f4f4f,#252115,#000000,,,css3,http://images.collection.cooperhewitt.org/15959_36c9f808994033cc_z.jpg
18643241,#b67737,#cd853f,#8d5132,#a0522d,#dbc275,#deb887,#f3e5b5,#f5deb3,#c59e51,#cd853f,css3,http://images.collection.cooperhewitt.org/15961_8a4a5c91eb366236_z.jpg
18643511,#7d7d74,#808080,#48493b,#2f4f4f,#bdac7a,#bdb76b,#706032,#556b2f,#98895b,#808080,css3,http://images.collection.cooperhewitt.org/15963_07520a3254b72bf1_z.jpg
18643657,#484442,#2f4f4f,#c9c5bd,#c0c0c0,#a59e9c,#a9a9a9,#6d656f,#696969,#261d0a,#000000,css3,http://images.collection.cooperhewitt.org/15964_1dce0e09a1661ea5_z.jpg
18569203,#c7bbd0,#c0c0c0,#a5758e,#bc8f8f,#b494af,#a9a9a9,#a55567,#cd5c5c,#767178,#808080,css3,http://images.collection.cooperhewitt.org/15968_56b3c0d5c5954353_z.jpg
18569203,#d1bfbe,#c0c0c0,#a89da3,#a9a9a9,#c79793,#bc8f8f,#a26065,#cd5c5c,#923e44,#a0522d,css3,http://images.collection.cooperhewitt.org/15969_8c59c3fdf9f980e7_z.jpg
18569203,#b78b92,#bc8f8f,#a06269,#cd5c5c,#e2b6be,#ffb6c1,#a59b9f,#a9a9a9,,,css3,http://images.collection.cooperhewitt.org/15970_66a1714c775f63b3_z.jpg
18569205,#b77b76,#bc8f8f,#954644,#a0522d,#c4959f,#bc8f8f,#665f59,#696969,,,css3,http://images.collection.cooperhewitt.org/15971_41f481ae3a919391_z.jpg
18569205,#b2868b,#bc8f8f,#daced0,#d3d3d3,#acaaa1,#a9a9a9,#966162,#696969,#cbaba2,#d2b48c,css3,http://images.collection.cooperhewitt.org/15972_33c543e4a1231f73_z.jpg
18569205,#c3b4b4,#c0c0c0,#bf8c8c,#bc8f8f,#a65258,#cd5c5c,#623b3c,#556b2f,#dfb1b8,#ffb6c1,css3,http://images.collection.cooperhewitt.org/15973_ae40b3c67188835d_z.jpg
