person_id,person_name,id,name,count_objects
18049399,Mabel Sarton,35236655,Designer,1
18049447,Pignet et Cie,35236685,Maker,1
18049447,Pignet et Cie,35236655,Designer,1
18049449,Joseph Dufour et Cie.,35236657,Manufacturer,4
18049451,Mario Botta,35236655,Designer,2
18049461,Donelda Fazakas,35236673,Printer,1
18049463,John Munns,35236685,Maker,1
18049465,Leon Nikojajevitsch Rosenberg,35236565,Artist,2
18049467,,35236655,Designer,2
18049471,Serge Soudeikine,35236655,Designer,1
18049475,Pennsylvania Railroad,35236667,Client,7
18049475,Pennsylvania Railroad,35236657,Manufacturer,6
18049491,Jacques-Denis Antoine,35236655,Designer,1
18049493,Pellerin et Cie.,35236661,Publisher,1
18049497,"William Lescaze and J. Gordon Carr, Associates, Architects",35236663,Architect,1
18049499,,35236697,Circle of,1
18049501,Heinz Edelmann,35236763,Graphic Designer,1
18049503,United Artists,35236735,Association,1
18049503,United Artists,35236565,Artist,1
18049511,General Dynamic Corporation,35236667,Client,1
18049517,Charles Martin,35236565,Artist,1
18049547,Ergonomi Design Gruppen,35236655,Designer,7
18049553,"Howard & Schaffer, Inc.",35236671,Producer,1
18049565,Charles Le Brun,35236565,Artist,2
18049569,Pierre Lescot,35236655,Designer,1
18049571,Jean Goujon,35236655,Designer,1
18049573,Marguerite Zorach,35236655,Designer,1
18049573,Marguerite Zorach,35236583,Embroiderer,1
18049575,The Educational Alliance,35236793,Student at,51
18049575,The Educational Alliance,35236685,Maker,4
18049577,Les Amis de la Dentelle,35236671,Producer,1
18049587,Albert Flanagan,35236565,Artist,1
18049591,Jacques Ignace Hittorff,35236655,Designer,1
18049619,Tetsuji Kawamura,35236655,Designer,2
18049621,Advisory Council,35236657,Manufacturer,2
18049625,Henry Bosch Company,35236657,Manufacturer,1
18049631,Lightbown Aspinall Mill,35236671,Producer,1
18049639,William E. Lescaze,35236663,Architect,4
18049651,Christian Engelbrecht,35236743,Engraver,1
18049653,Johann Cyriak Hackhofer,35236677,After,1
18049679,Christina Malman,35236565,Artist,28
18049683,Jeffrey Keedy,35236655,Designer,5
18049689,British General Post Office,35236667,Client,3
18049689,British General Post Office,35236675,For,2
18049713,D. Cerato,35236663,Architect,6
18049715,D. Danieletti,35236733,Co-Designer,6
18049719,King Features Production,35236685,Maker,1
18049721,Apple Films,35236675,For,1
18049729,Radius,35236657,Manufacturer,1
18049737,Erphila,35236659,Distributor,6
18049749,American Airlines,35236675,For,1
18049751,Hamilton Bell and Co.,35236671,Producer,1
18049763,Carstens-Graefenroda,35236657,Manufacturer,4
18049763,Carstens-Graefenroda,35236685,Maker,1
18049765,,35236565,Artist,8
18049765,,35236655,Designer,5
18049765,,35236677,After,1
18049769,Sarah Campbell,35236655,Designer,1
18049771,Susan Collier,35236655,Designer,1
18049773,Collier Campbell,35236655,Designer,10
18049793,Gordon,35236743,Engraver,1
18049795,Ferdinand Favre Petitpierre & Cie,35236685,Maker,1
18049797,Mrs. Edward D. Brandegee,35236657,Manufacturer,2
18049809,Benjamin Thompson,35351535,Donor,2
18049809,Benjamin Thompson,35236595,Founder,1
18049811,Tommi Parzinger,35236655,Designer,156
18049819,Tupperware Corporation,35236657,Manufacturer,12
18049829,Zue Martin,35236655,Designer,2
18049831,Annaburg,35236657,Manufacturer,6
18049833,Velten Vordamm,35236657,Manufacturer,14
18049837,Georgenthal,35236657,Manufacturer,1
18049839,Karlsruhe,35236657,Manufacturer,15
18049839,Karlsruhe,35236685,Maker,1
18049843,Reisner and Urbahn,35236655,Designer,1
18049845,Edward J. Wormley,35236655,Designer,2
18049847,Dunbar Furniture Co.,35236657,Manufacturer,2
18049847,Dunbar Furniture Co.,35236681,Company,1
18049849,Maija Isola,35236655,Designer,9
18049853,Jamet,35236743,Engraver,2
18049853,Jamet,35236657,Manufacturer,1
18049861,Peter Chang,35236655,Designer,1
18049865,Jeremias Wolff,35236661,Publisher,8
18049873,Jann Church,35236655,Designer,6
18049875,,35236669,Draftsman,1
18049875,,35236663,Architect,1
18049895,Dubey et Comp.,35236685,Maker,2
18049985,Harvey Smith,35236685,Maker,1
18049991,Bannister Hall Printworks,35236685,Maker,1
18049991,Bannister Hall Printworks,35236681,Company,1
18050005,"Warner, Sillet & Ramm",35236657,Manufacturer,1
18050011,George Nakashima,35236655,Designer,1
18050013,James Hazen Hyde,35236807,Creator,37
18050015,Charles Meynier,35236711,Attributed to,1
18050029,Auburn Fabrics Inc.,35236671,Producer,6
18050031,Jean-Robert Ango,35236685,Maker,3
18050031,Jean-Robert Ango,35236565,Artist,1
18050033,Anne Vallayer-Coster,35236711,Attributed to,2
18050033,Anne Vallayer-Coster,35236565,Artist,1
18050035,Augustus Saint-Gaudens,35236565,Artist,2
18050039,Malfeson,35236743,Engraver,1
18050041,Schaar,35236685,Maker,1
18050043,Alexandre Buquet,35236743,Engraver,2
18050043,Alexandre Buquet,35236655,Designer,1
18050045,Charles Swainson,35236671,Producer,1
18050049,Sven Markelius,35236655,Designer,2
18050065,Kenneth Snelson,35236685,Maker,3
18050087,Ray Eames,35236655,Designer,5
18050087,Ray Eames,35236733,Co-Designer,1
18050095,Horace Vernet,35236655,Designer,1
18050097,Gabriel Lemonier,35236743,Engraver,1
18050099,Cholet,35236743,Engraver,1
18050099,Cholet,35236633,Possibly,1
18050101,A. Henry,35236671,Producer,2
18050101,A. Henry,35236657,Manufacturer,1
18050103,Delmes,35236743,Engraver,1
18050103,Delmes,35236655,Designer,1
18050113,Carol Summers,35236685,Maker,1
18050113,Carol Summers,35236655,Designer,1
18050115,Judith Brown,35236685,Maker,1
18050117,Julio Gausch,35236685,Maker,5
18050121,Lenore Asbury,35236655,Designer,2
